	Date	West Income	NorthEast Income	South Income	MidWest Income	NorthEast HP	MidWest HP	West HP	South HP	Avg West HP Chg	West Income Chg	Avg West HP Chg (Norm)	West Income Chg (Norm)	Avg NorthEast HP Chg	NorthEast Income Chg	Avg NorthEast HP Chg (Norm)	NorthEast Income Chg (Norm)	Avg MidWest HP Chg	MidWest Income Chg	Avg MidWest HP Chg (Norm)	MidWest Income Chg (Norm)	Avg South HP Chg	South Income Chg	Avg South HP Chg (Norm)	South Income Chg (Norm)
1	1/1/1976	68904	67903	60730	69804	50125	48725	51925	43775	0.17410966647823622	0.0253266271837147	0.1145126743701836	0.0144987451134052	0.06197033898305082	-0.0021601763409258012	-0.003299493694873437	-0.014751679148787122	0.12528868360277134	0.041866296511888335	0.0748163274804361	0.03199901976854685	0.10612760581174974	0.03292853012212138	0.05315052708610731	0.021738932336651473
2	1/1/1977	69769	70404	62512	69577	54600	55325	61275	48025	0.1800674049109292	0.012553697898525451	0.12047041280287658	0.001725815828215951	0.08927680798004989	0.03683195146017115	0.02400697530212563	0.024240448652309832	0.1354540790148795	-0.0032519626382442324	0.08498172289254424	-0.013119239381585717	0.09708737864077666	0.029342993578132637	0.04411029991513423	0.01815339579266273
3	1/1/1978	73517	71273	64365	71526	62800	64350	70650	55650	0.15299877600979195	0.053720133583683216	0.09340178390173932	0.04289225151337372	0.1501831501831501	0.012343048690415248	0.08491331750522584	-0.00024845411744607235	0.16312697695436063	0.028012130445405736	0.11265462083202538	0.01814485370206425	0.15877147319104634	0.02964230867673412	0.10579439446540392	0.018452710891264212
4	1/1/1979	75181	73252	64740	72311	72050	72950	82875	63525	0.1730360934182591	0.022634220656446713	0.11343910131020647	0.011806338586137213	0.14729299363057335	0.02776647538338506	0.0820231609526491	0.015174972575523738	0.13364413364413363	0.010975030058999469	0.08317177752179838	0.0011077533156579836	0.14150943396226423	0.005826147751107014	0.08853235523662181	-0.005363450034362893
5	1/1/1980	73106	70516	63034	69152	79475	74475	89875	69100	0.08446455505279027	-0.027600058525425353	0.024867562944737645	-0.03842794059573485	0.10305343511450382	-0.03735051602686612	0.037783602436579564	-0.049942018834727445	0.020904729266620903	-0.043686299456514255	-0.029567626855714346	-0.05355357619985574	0.08776072412436053	-0.02635156008649986	0.03478364539871811	-0.037541157871969766
6	1/1/1981	71364	69309	63169	67256	87950	82250	96075	75950	0.06898470097357445	-0.023828413536508664	0.00938770886552183	-0.03465629560681816	0.10663730732934895	-0.017116682738669287	0.04136747465142469	-0.029708185546530607	0.10439744880832502	-0.027417862100879264	0.05392509268598977	-0.03728513884422075	0.09913169319826332	0.002141701304058108	0.04615461447262089	-0.009047896481411799
7	1/1/1982	71206	69483	63269	67009	88625	87875	92625	78225	-0.03590944574551136	-0.002214001457317427	-0.09550643785356398	-0.013041883527626927	0.007674815235929611	0.002510496472319712	-0.05759501744199465	-0.010081006335541608	0.06838905775075999	-0.0036725347924349006	0.017916701628424736	-0.013539811535776386	0.02995391705069128	0.0015830549794995097	-0.023023161674951144	-0.009606542805970397
8	1/1/1983	70217	71153	63802	66409	96425	97575	97550	82875	0.05317139001349536	-0.013889278993343246	-0.006425602094557267	-0.024717161063652744	0.08801128349788434	0.024034655959011664	0.022741450819960082	0.011443153151150343	0.11038406827880509	-0.008954021101643117	0.05991171215646984	-0.018821297844984604	0.05944391179290509	0.008424346836523489	0.006466833067262666	-0.0027652509489464183
9	1/1/1984	74075	74082	66584	68130	107425	107725	109200	85600	0.1194259354177345	0.05494395944002162	0.05982894330968187	0.04411607736971212	0.11407829919626655	0.04116481385184034	0.048808466518342294	0.028573311043979022	0.10402254675890332	0.025915162101522338	0.053550190636568074	0.01604788535818085	0.03288084464555063	0.04360364878843925	-0.020096234080091792	0.032414051002969346
10	1/1/1985	76838	77936	66614	69888	120800	96000	111900	89025	0.024725274725274637	0.03730003374957813	-0.034871717382777986	0.026472151679268634	0.1245054689318128	0.0520234334926164	0.05923563625388854	0.039431930684755076	-0.10884195869111157	0.025803610744165484	-0.15931431481344682	0.015936334000823997	0.040011682242990565	0.00045055869277899063	-0.01296539648265186	-0.010739039092690916
