Ticker,DATE,PX_LAST,PX_VOLUME,Sector
SPX Index                                                       ,11/1/2018,2711.74,15442663407,All
SPX Index                                                       ,10/1/2018,2913.98,11546397055,All
SPX Index                                                       ,9/1/2018,2901.52,10679466151,All
SPX Index                                                       ,8/1/2018,2816.29,10743831925,All
SPX Index                                                       ,7/1/2018,2718.37,13725728695,All
SPX Index                                                       ,6/1/2018,2705.27,12122966956,All
SPX Index                                                       ,5/1/2018,2648.05,12053107968,All
SPX Index                                                       ,4/1/2018,2640.87,14143565144,All
SPX Index                                                       ,3/1/2018,2713.83,13356416471,All
SPX Index                                                       ,2/1/2018,2823.81,12331876307,All
SPX Index                                                       ,1/1/2018,2673.61,11380531223,All
SPX Index                                                       ,12/1/2017,2647.58,11298117698,All
SPX Index                                                       ,11/1/2017,2575.26,11049645016,All
SPX Index                                                       ,10/1/2017,2519.36,11015444510,All
SPX Index                                                       ,9/1/2017,2471.65,11015182265,All
SPX Index                                                       ,8/1/2017,2470.3,10339722190,All
SPX Index                                                       ,7/1/2017,2423.41,14263481622,All
SPX Index                                                       ,6/1/2017,2411.8,11937341180,All
SPX Index                                                       ,5/1/2017,2384.2,10089314899,All
SPX Index                                                       ,4/1/2017,2362.72,13285302949,All
SPX Index                                                       ,3/1/2017,2363.64,10744943849,All
SPX Index                                                       ,2/1/2017,2278.87,11436748079,All
SPX Index                                                       ,1/1/2017,2238.83,12322338207,All
SPX Index                                                       ,12/1/2016,2198.81,14060816568,All
SPX Index                                                       ,11/1/2016,2126.15,11816386390,All
SPX Index                                                       ,10/1/2016,2168.27,13225503136,All
SPX Index                                                       ,9/1/2016,2170.95,11629875261,All
SPX Index                                                       ,8/1/2016,2173.6,11648785698,All
SPX Index                                                       ,7/1/2016,2098.86,14892033305,All
SPX Index                                                       ,6/1/2016,2096.96,12704539590,All
SPX Index                                                       ,5/1/2016,2065.3,13420928645,All
SPX Index                                                       ,4/1/2016,2059.74,14907647054,All
SPX Index                                                       ,3/1/2016,1932.23,16130061898,All
SPX Index                                                       ,2/1/2016,1940.24,16498413683,All
SPX Index                                                       ,1/1/2016,2043.94,14421609300,All
SPX Index                                                       ,12/1/2015,2080.41,12005752500,All
SPX Index                                                       ,11/1/2015,2079.36,14694560300,All
SPX Index                                                       ,10/1/2015,1920.03,15630063000,All
SPX Index                                                       ,9/1/2015,1972.18,14741993500,All
SPX Index                                                       ,8/1/2015,2103.84,12401955100,All
SPX Index                                                       ,7/1/2015,2063.11,12535139700,All
SPX Index                                                       ,6/1/2015,2107.39,10433129800,All
SPX Index                                                       ,5/1/2015,2085.51,11365220200,All
SPX Index                                                       ,4/1/2015,2067.89,13225155600,All
SPX Index                                                       ,3/1/2015,2104.5,10534540600,All
SPX Index                                                       ,2/1/2015,1994.99,12415078800,All
SPX Index                                                       ,1/1/2015,2058.9,12619616800,All
SPX Index                                                       ,12/1/2014,2067.56,9662946900,All
SPX Index                                                       ,11/1/2014,2018.05,14534283800,All
SPX Index                                                       ,10/1/2014,1972.29,11456263200,All
SPX Index                                                       ,9/1/2014,2003.37,8870945900,All
SPX Index                                                       ,8/1/2014,1930.67,10483721300,All
SPX Index                                                       ,7/1/2014,1960.23,10426825000,All
SPX Index                                                       ,6/1/2014,1923.57,10010893000,All
SPX Index                                                       ,5/1/2014,1883.95,12139736900,All
SPX Index                                                       ,4/1/2014,1872.34,11757330400,All
SPX Index                                                       ,3/1/2014,1859.45,10976695700,All
SPX Index                                                       ,2/1/2014,1782.59,12088590800,All
SPX Index                                                       ,1/1/2014,1848.36,10791646700,All
SPX Index                                                       ,12/1/2013,1805.81,9908233500,All
SPX Index                                                       ,11/1/2013,1756.54,12106462700,All
SPX Index                                                       ,10/1/2013,1681.55,10682235600,All
SPX Index                                                       ,9/1/2013,1632.97,10059539700,All
SPX Index                                                       ,8/1/2013,1685.73,11560664600,All
SPX Index                                                       ,7/1/2013,1606.28,12687780000,All
SPX Index                                                       ,6/1/2013,1630.74,11979752300,All
SPX Index                                                       ,5/1/2013,1597.57,12460059000,All
SPX Index                                                       ,4/1/2013,1569.19,11010706200,All
SPX Index                                                       ,3/1/2013,1514.68,10845015400,All
SPX Index                                                       ,2/1/2013,1498.11,12023354200,All
SPX Index                                                       ,1/1/2013,1426.19,11379876200,All
SPX Index                                                       ,12/1/2012,1416.18,12116896300,All
SPX Index                                                       ,11/1/2012,1412.16,11506952700,All
SPX Index                                                       ,10/1/2012,1440.67,11415693800,All
SPX Index                                                       ,9/1/2012,1406.58,11339613800,All
SPX Index                                                       ,8/1/2012,1379.32,12359421300,All
SPX Index                                                       ,7/1/2012,1362.16,13955221800,All
SPX Index                                                       ,6/1/2012,1310.33,14488657600,All
SPX Index                                                       ,5/1/2012,1397.91,12528113400,All
SPX Index                                                       ,4/1/2012,1408.47,13919236200,All
SPX Index                                                       ,3/1/2012,1365.68,12477188000,All
SPX Index                                                       ,2/1/2012,1312.41,13323530900,All
SPX Index                                                       ,1/1/2012,1257.61,13573985100,All
SPX Index                                                       ,12/1/2011,1246.96,15457654900,All
SPX Index                                                       ,11/1/2011,1253.3,18161960000,All
SPX Index                                                       ,10/1/2011,1131.42,19638578100,All
SPX Index                                                       ,9/1/2011,1218.89,26660708600,All
SPX Index                                                       ,8/1/2011,1292.28,14435913700,All
SPX Index                                                       ,7/1/2011,1320.64,17391631800,All
SPX Index                                                       ,6/1/2011,1345.2,16057191400,All
SPX Index                                                       ,5/1/2011,1363.61,14875905700,All
SPX Index                                                       ,4/1/2011,1325.83,19032397600,All
SPX Index                                                       ,3/1/2011,1327.22,15604954100,All
SPX Index                                                       ,2/1/2011,1286.12,17273176300,All
SPX Index                                                       ,1/1/2011,1257.64,16144982500,All
SPX Index                                                       ,12/1/2010,1180.55,17597924100,All
SPX Index                                                       ,11/1/2010,1183.26,18393390800,All
SPX Index                                                       ,10/1/2010,1141.2,18102024500,All
SPX Index                                                       ,9/1/2010,1049.33,18858149100,All
SPX Index                                                       ,8/1/2010,1101.6,20611907300,All
SPX Index                                                       ,7/1/2010,1030.71,24398160700,All
SPX Index                                                       ,6/1/2010,1089.41,27617183800,All
SPX Index                                                       ,5/1/2010,1186.69,21739215100,All
SPX Index                                                       ,4/1/2010,1169.43,21181514500,All
SPX Index                                                       ,3/1/2010,1104.49,19305280900,All
SPX Index                                                       ,2/1/2010,1073.87,20070078000,All
SPX Index                                                       ,1/1/2010,1115.1,20551617100,All
SPX Index                                                       ,12/1/2009,1095.63,18728378800,All
SPX Index                                                       ,11/1/2009,1036.19,24672233900,All
SPX Index                                                       ,10/1/2009,1057.08,24678615900,All
SPX Index                                                       ,9/1/2009,1020.63,21797926600,All
